"Surgeon1"	"Surgeon2"	"Surgeon3"	"Surgeon4"
"1"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"2"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"3"	"Satisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"4"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"5"	"Dissatisfied"	"Satisfied"	"Dissatisfied"	"Satisfied"
"6"	"Satisfied"	"Dissatisfied"	"Satisfied"	"Satisfied"
"7"	"Dissatisfied"	"Satisfied"	"Dissatisfied"	"Dissatisfied"
"8"	"Satisfied"	"Satisfied"	"Dissatisfied"	"Satisfied"
"9"	"Satisfied"	"Satisfied"	"Dissatisfied"	"Satisfied"
"10"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"11"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"12"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"13"	"Satisfied"	"Satisfied"	"Dissatisfied"	"Satisfied"
"14"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"15"	"Dissatisfied"	"Satisfied"	"Dissatisfied"	"Satisfied"
"16"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"17"	"Satisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"18"	"Satisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"19"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"20"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"21"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"22"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"23"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"24"	"Satisfied"	"Satisfied"	"Dissatisfied"	"Dissatisfied"
"25"	"Dissatisfied"	"Dissatisfied"	"Satisfied"	"Satisfied"
"26"	"Dissatisfied"	"Dissatisfied"	"Satisfied"	"Dissatisfied"
"27"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"28"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"29"	"Dissatisfied"	"Dissatisfied"	"Satisfied"	"Dissatisfied"
"30"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"31"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"32"	"Satisfied"	"Dissatisfied"	"Satisfied"	"Satisfied"
"33"	"Dissatisfied"	"Satisfied"	"Dissatisfied"	"Dissatisfied"
"34"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"35"	"Dissatisfied"	"Dissatisfied"	"Satisfied"	"Satisfied"
"36"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"37"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"38"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"39"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"
"40"	"Dissatisfied"	"Satisfied"	"Satisfied"	"Dissatisfied"
"41"	"Dissatisfied"	"Dissatisfied"	"Dissatisfied"	"Satisfied"
"42"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"43"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"44"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"45"	"Dissatisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"46"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"47"	"Dissatisfied"	"Satisfied"	"Dissatisfied"	"Satisfied"
"48"	"Dissatisfied"	"Satisfied"	"Satisfied"	"Satisfied"
"49"	"Dissatisfied"	"Satisfied"	"Dissatisfied"	"Dissatisfied"
"50"	"Satisfied"	"Satisfied"	"Satisfied"	"Satisfied"
